strategy,fast,slow,sharpe,maxdd,cagr,win_rate,profit_factor,trades,rsi_window,entry,exit,short_entry,short_exit,lookback,skip,top_n,gross_exposure
rsi_mr,,,-0.15366172022095329,-26.566393848652382,,0.4166666666666667,0.4704160894493166,36.0,21.0,30.0,60.0,70.0,50.0,,,,
rsi_mr,,,-0.18480484908445924,-1.0230238313040352,-0.257136186197336,0.5473251028806584,0.8818558953258923,243.0,14.0,25.0,70.0,75.0,50.0,,,,
rsi_mr,,,-0.1987782503853003,-1.1653957607279108,,0.37037037037037035,0.273199133898108,27.0,21.0,30.0,70.0,70.0,55.0,,,,
rsi_mr,,,-0.20998264142507128,-3.477978592919527,2.124071904062818,0.5641025641025641,1.0566302133764431,195.0,14.0,25.0,70.0,80.0,55.0,,,,
rsi_mr,,,-0.23937251516201172,-1.2355383411948697,-0.7305136978461506,0.4928571428571429,0.7296946231077872,140.0,14.0,30.0,70.0,70.0,50.0,,,,
rsi_mr,,,-0.24602927273799566,-1.0430487510041924,,0.47058823529411764,0.7774494231293932,68.0,21.0,25.0,70.0,75.0,55.0,,,,
rsi_mr,,,-0.2698848832707846,-3.178745874697448,-0.5536967247810063,0.2,0.005072772769540203,5.0,21.0,20.0,60.0,75.0,55.0,,,,
rsi_mr,,,-0.2698848832707846,-3.178745874697448,-0.5536967247810063,0.2,0.005072772769540203,5.0,21.0,20.0,70.0,75.0,55.0,,,,
rsi_mr,,,-0.29635909270975874,-4.2165123178819295,-0.38709412700649726,0.47560975609756095,0.7810484196962408,82.0,21.0,25.0,70.0,70.0,50.0,,,,
rsi_mr,,,-0.31278284739452755,-1.0570909449433097,-0.5403125471954311,0.5310344827586206,0.6970306284125842,145.0,14.0,25.0,70.0,70.0,50.0,,,,
rsi_mr,,,-0.32359336180105314,-4.432629233611922,,0.5,0.47253033965684543,48.0,14.0,25.0,60.0,75.0,50.0,,,,
rsi_mr,,,-0.34608651447222094,-1.9646657568807326,0.5467125590386066,0.5402298850574713,0.9822571193455811,174.0,14.0,30.0,70.0,75.0,55.0,,,,
rsi_mr,,,-0.3542752254156029,-1.0741863060057397,-0.8394720514726959,0.4666666666666667,0.7914900059713407,90.0,21.0,20.0,70.0,70.0,50.0,,,,
rsi_mr,,,-0.38526420637046155,-1.3004245170093036,-0.7470575346488706,0.45454545454545453,0.16234308269610795,22.0,21.0,30.0,70.0,75.0,50.0,,,,
rsi_mr,,,-0.40387623513126125,-1.2295959607607938,,0.6125,0.4842173307558484,160.0,14.0,25.0,60.0,75.0,55.0,,,,
rsi_mr,,,-0.4261889072671816,-2.2866585041678293,,0.49206349206349204,0.6120183245293389,63.0,21.0,25.0,70.0,75.0,50.0,,,,
rsi_mr,,,-0.45020800327576926,-81.82607092268988,,0.46153846153846156,0.015029688974001714,26.0,21.0,30.0,70.0,80.0,55.0,,,,
rsi_mr,,,-0.45697436036755346,-1.0361964144946207,,0.43636363636363634,0.41738079186392585,55.0,21.0,25.0,70.0,80.0,50.0,,,,
rsi_mr,,,-0.45977625531689825,-898.8083147278388,,0.5283018867924528,0.7438121779653053,106.0,21.0,20.0,70.0,80.0,55.0,,,,
rsi_mr,,,-0.501891665775796,-1.3123053336104844,-0.6375267374270783,0.47619047619047616,0.14279864825258096,21.0,21.0,30.0,70.0,80.0,50.0,,,,
rsi_mr,,,-0.568905911487832,-1.0369207194005554,-0.5098691785850473,0.4084507042253521,0.6239312076179168,71.0,21.0,20.0,70.0,70.0,55.0,,,,
rsi_mr,,,-0.5720107308867085,-1.2504134139908283,,0.55,0.5663916131727816,100.0,21.0,20.0,60.0,75.0,50.0,,,,
rsi_mr,,,-0.6189738562329237,-1.0931098093786495,,0.48717948717948717,0.5599271001550692,39.0,21.0,20.0,70.0,75.0,50.0,,,,
rsi_mr,,,-0.6342275668271732,-1.0968976336738259,,0.5925925925925926,0.1567022942971018,54.0,21.0,20.0,70.0,80.0,50.0,,,,
rsi_mr,,,-0.6667903344719942,-1.061428116762116,,0.5714285714285714,0.439522237101797,42.0,14.0,25.0,60.0,80.0,55.0,,,,
rsi_mr,,,-0.6849353144794816,-1.0249852775445747,,0.484375,0.6182036794268251,64.0,14.0,25.0,60.0,70.0,50.0,,,,
rsi_mr,,,-0.7089632436761872,-1.0115869608555965,,0.39285714285714285,0.013466700921533563,28.0,21.0,30.0,70.0,75.0,55.0,,,,
rsi_mr,,,-0.8065504942090171,-1.089425068151836,,0.5,0.005840761056198124,10.0,21.0,30.0,60.0,80.0,55.0,,,,
rsi_mr,,,-0.8067885304916249,-1.0895140726601327,,0.5454545454545454,0.01119882373735116,11.0,21.0,30.0,60.0,75.0,50.0,,,,
rsi_mr,,,-0.8093011763001916,-1.089425068151836,,0.5,0.010071574156587439,10.0,21.0,30.0,60.0,80.0,50.0,,,,
