Date,BuyHold_SPY,TSMOM_252d_Enhanced,TSMOM_63d_Enhanced,XAsset_MomRot
2018-05-15,2.9428087996925907,6.650957203072837,6.216657476108662,2.5082008037005736
2018-05-16,2.9551828707417234,6.694420960747207,6.187627527459854,2.5272156264283563
2018-05-17,2.9526872330702383,6.647764711929254,6.233047440885257,2.51367957938653
2018-05-18,2.945305558914973,6.580366812663654,6.29739557458187,2.5001968089574675
2018-05-21,2.9674487121292743,6.6722361675176085,6.225804395688638,2.518768999412721
2018-05-22,2.9592002660556,6.669322632229171,6.2308112771120525,2.5182046214484872
2018-05-23,2.9673417909437387,6.593269550377898,6.313302090520846,2.509824085232703
2018-05-24,2.9612631720059044,6.58625865931266,6.306183218873177,2.4996247380452012
2018-05-25,2.9542067476108356,6.487264480418872,6.3696767736218955,2.4949411827200625
2018-05-29,2.9202301108798663,6.211538360512086,6.62020700804747,2.4404794495144673
2018-05-30,2.9592002660556007,6.429814843623004,6.41624184216322,2.4740755994664747
2018-05-31,2.941072451978531,6.370845551192141,6.459718636731264,2.461669085451268
2018-06-01,2.969946592902555,6.392041961487264,6.510919275326034,2.4778378357375037
2018-06-04,2.9840579462914962,6.407715899822285,6.511936003616627,2.480826363882819
2018-06-05,2.986228894978234,6.423768551716628,6.5058076399496665,2.4758436645999313
2018-06-06,3.0111957395014595,6.490110451347699,6.5206177520832584,2.5014234181090242
2018-06-07,3.010870489741263,6.512603880548257,6.505613493543228,2.4904124718759717
2018-06-08,3.019770743811377,6.521444775614972,6.521960421877972,2.4908368896386026
2018-06-11,3.0237879522001037,6.51925338476148,6.534840153157678,2.491572713415896
2018-06-12,3.027695061675752,6.505611294847104,6.558881448813349,2.489715748353364
2018-06-13,3.0180340222470172,6.51061496946024,6.533705632914122,2.4836908919791334
2018-06-14,3.025632903426046,6.389525185071404,6.65344177347745,2.4680243155767676
2018-06-15,3.0217727121629316,6.3653111356754595,6.613066055390992,2.4340536505806383
2018-06-18,3.0155580117162333,6.365552328023139,6.613316635589393,2.428670760290381
2018-06-19,3.004000055869984,6.312434345977204,6.6109101067793565,2.4041447505071747
2018-06-20,3.0091247957697247,6.31142684343668,6.6248843407745035,2.40883824140422
2018-06-21,2.990261618154371,6.301418557728276,6.561702761219013,2.381485704189252
2018-06-22,2.9957132901406545,6.362521891881263,6.558057543446216,2.4125526610986676
2018-06-25,2.954932577966493,6.305452206970371,6.469242745554778,2.3755520125356027
2018-06-26,2.9614751451254806,6.278480286269844,6.537874241734827,2.3831532530965713
2018-06-27,2.936940658473137,6.194565649742911,6.56220347380137,2.3620449895195197
2018-06-28,2.9537334531322044,6.218280428254949,6.587325687485324,2.3747063064716136
2018-06-29,2.957984878733302,6.299733820002284,6.529324879992234,2.400870228747977
2018-07-02,2.964309865018228,6.336318800491317,6.558055041568508,2.3738914736411085
2018-07-03,2.9538420566440857,6.2614984574142785,6.543818614376589,2.3702351336297363
2018-07-05,2.9779387645962108,6.266919125166577,6.5832569805027354,2.380769828208133
2018-07-06,3.0031273023467886,6.270627631882772,6.625875158890126,2.405993041124638
2018-07-09,3.030169389880188,6.360378219427335,6.6439895191416225,2.436353242411143
2018-07-10,3.041072733852754,6.380983006596999,6.664532638992193,2.4354490728985954
2018-07-11,3.018829201833151,6.346987781313093,6.675237046894656,2.376242114178536
2018-07-12,3.046197286827345,6.405121891399112,6.735396346695876,2.4004684611103984
2018-07-13,3.0485962841965186,6.3865704294219094,6.746583116986984,2.4032764917531506
2018-07-16,3.0458707285911015,6.376327836218185,6.685316086117479,2.378881398383857
2018-07-17,3.0581920867480648,6.443998261113183,6.7336282498981435,2.389829415870536
2018-07-18,3.064625676544872,6.495145908034855,6.7384117535793475,2.3986310907127657
2018-07-19,3.0530669729980247,6.4530756886543035,6.771603433929287,2.383124050766188
2018-07-20,3.0495774543064447,6.4604780890709375,6.629898063743926,2.4013648024864693
2018-07-23,3.0552474548673887,6.557698544728874,6.582490302502905,2.4002721418671458
2018-07-24,3.0706218614917606,6.572046391702529,6.637599710450638,2.4231569812821396
2018-07-25,3.096791943202564,6.599328695003032,6.64619951272883,2.4584699811253565
2018-07-26,3.089486908358609,6.653785856881707,6.678027083944214,2.4460218689842885
2018-07-27,3.068550170059428,6.593569016248639,6.637735863616182,2.439313841382086
2018-07-30,3.052521712336822,6.561091246657494,6.564052122290549,2.438375440863236
2018-07-31,3.0675688130243524,6.563250049552776,6.630327667051329,2.442664413356692
2018-08-01,3.06244463390006,6.532108172822178,6.662005204219831,2.4186213896791706
2018-08-02,3.079127703496349,6.571030281561045,6.7528601266860075,2.4167821246554517
2018-08-03,3.092320693625609,6.601873908172096,6.774793316189348,2.431510339455986
2018-08-06,3.103660694747496,6.61280553777144,6.822369317998176,2.4293065170561934
2018-08-07,3.113910922247576,6.659963535279502,6.790007576729672,2.449898177367463
2018-08-08,3.112600576949313,6.638188452417463,6.7912567626664835,2.436163894293407
2018-08-09,3.1083493382733645,6.6569686567070825,6.842296916355417,2.427853290707982
2018-08-10,3.0875238204381588,6.584318428391072,6.950434953048883,2.3998444021181453
2018-08-13,3.0759636214901156,6.549778419370979,6.95431196616831,2.375117855500295
2018-08-14,3.0955918837425287,6.607518193926434,7.014703651396614,2.388791508619254
2018-08-15,3.0724765328254793,6.493926247846304,7.058341234219546,2.3322109528658728
2018-08-16,3.097336456163169,6.562538649231311,7.0562462257271275,2.351964686366603
2018-08-17,3.1082398001357348,6.5734837496881795,7.006676026826931,2.36840544906494
2018-08-20,3.1148919054323523,6.592712161218229,6.973985872304841,2.376085336115945
2018-08-21,3.1221973141266064,6.5919198850338585,6.913494113184318,2.3917411114375113
2018-08-22,3.1203432035683365,6.595994304303207,6.863467364291294,2.41195702299766
2018-08-23,3.116200194553971,6.600491787086326,6.935790066229993,2.3937805134393
2018-08-24,3.134954207881994,6.6277282341748025,6.900420681347067,2.4239421690928036
2018-08-27,3.1597060884832504,6.700376273515676,6.848118510031664,2.448006687759205
2018-08-28,3.1612328931046787,6.696261552974697,6.8571855176500645,2.4411751266811814
2018-08-29,3.178243081712659,6.74294599964407,6.840955517704358,2.462796344505248
2018-08-30,3.1653755282687452,6.684590187451946,6.870776895804731,2.4318407697125095
2018-08-31,3.165485440256674,6.6751357185100995,6.932694114257907,2.436754014579983
2018-09-04,3.1600339551955408,6.717532560419595,6.915878817622228,2.4324266609748473
2018-09-05,3.1515288608915504,6.699305373513453,6.881169001775214,2.418021131036889
2018-09-06,3.1420424095524844,6.661869684722001,6.896684039113502,2.4056308408296943
2018-09-07,3.13593556491707,6.72101516598363,6.8461913367535105,2.410083212972473
2018-09-10,3.1413881715291003,6.7044365625648465,6.858171370500874,2.4147322425512376
2018-09-11,3.151746441765613,6.770269822028001,6.82313394267025,2.435050213943975
2018-09-12,3.1525094702260286,6.743656150723837,6.819297347399541,2.4403006545568497
2018-09-13,3.171155253892469,6.743623831376972,6.83865028003032,2.4288290729929667
2018-09-14,3.1717007014788217,6.7840636533421455,6.831711969949613,2.4250184073355707
2018-09-17,3.1549077198946045,6.7409607838681795,6.791571584003229,2.4084687703708827
2018-09-18,3.1720274466402145,6.830949126010349,6.756199411132473,2.432541904868478
2018-09-19,3.1754078010444644,6.866035655702128,6.725873378106562,2.4429556260953165
2018-09-20,3.201141038680797,6.847314008912892,6.740114675980012,2.4443593433575472
2018-09-21,3.1982156600905234,6.858874392264682,6.750830987465205,2.4512777287469625
2018-09-24,3.1875915822913674,6.86812599173476,6.7168920290789185,2.468986791186967
2018-09-25,3.1846348002759712,6.878411193136389,6.707112950562504,2.472192784784301
2018-09-26,3.1751053561525113,6.824027270627872,6.741501020917593,2.4612323701077217
2018-09-27,3.1839764498992977,6.867114533357056,6.78457902362925,2.4837328735407076
2018-09-28,3.1843058120127843,6.886478288561849,6.78148239506687,2.502559320897403
2018-10-01,3.1953687900630565,6.920080962492447,6.814572739962898,2.534944486329719
2018-10-02,3.193505894022758,6.926909331643299,6.821296999191368,2.5315950046523614
2018-10-03,3.195258504224829,6.949897794643709,6.843934964577226,2.542646457127555
